experimentCode,trial_num,block_num,participant,visualAngle,viewingDistance,static_x,static_y,static_z,dynamic_x,dynamic_y,dynamic_z,led1on1,led2on,led1off1,led1on2,led2off,led1off2,
RSACF,1,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723023980.3930068,1723023984.199199,1723023984.3995683,1723023988.0051231,1723023988.2054539,1723023992.010864,
RSACF,2,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024007.3296854,1723024011.135938,1723024011.3362603,1723024014.94129,1723024015.1416376,1723024018.9467075,
RSACF,3,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024035.7654316,1723024039.5727994,1723024039.773094,1723024043.3800027,1723024043.580493,1723024047.390677,
RSACF,4,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024048.505608,1723024052.310906,1723024052.5112193,1723024056.11986,1723024056.3204217,1723024060.1294806,
RSACF,5,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024061.24256,1723024065.0476649,1723024065.2480044,1723024068.8555257,1723024069.0560226,1723024072.8638742,
RSACF,6,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024073.9811277,1723024077.7879126,1723024077.9883554,1723024081.5952961,1723024081.7958903,1723024085.6046195,
RSACF,7,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024086.7167444,1723024090.5231042,1723024090.723434,1723024094.330595,1723024094.5310874,1723024098.3392286,
RSACF,8,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024099.4529207,1723024103.2606456,1723024103.461145,1723024107.0691621,1723024107.2696812,1723024111.0769677,
RSACF,9,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024112.1937008,1723024115.9989662,1723024116.1992917,1723024119.805879,1723024120.006358,1723024123.8139303,
RSACF,10,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024124.9261637,1723024128.7314396,1723024128.9317703,1723024132.5394065,1723024132.739896,1723024136.550814,
RSACF,11,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024137.6646526,1723024141.4729712,1723024141.6735263,1723024145.2810404,1723024145.4815342,1723024149.2891138,
RSACF,12,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024150.4021578,1723024154.2109425,1723024154.4115334,1723024158.0188167,1723024158.2192988,1723024162.0271866,
RSACF,13,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024163.144496,1723024166.953184,1723024167.1537514,1723024170.7632372,1723024170.963633,1723024174.7718143,
RSACF,14,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024175.8880026,1723024179.6959834,1723024179.8964841,1723024183.5055518,1723024183.706071,1723024187.5148525,
RSACF,15,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024188.631607,1723024192.4396596,1723024192.6401362,1723024196.246759,1723024196.4472134,1723024200.2549174,
RSACF,16,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024201.369055,1723024205.1741436,1723024205.3744624,1723024208.9812884,1723024209.1817155,1723024212.9922729,
RSACF,17,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024214.1105502,1723024217.9187932,1723024218.1194499,1723024221.7267742,1723024221.927256,1723024225.7343996,
RSACF,18,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024226.8472767,1723024230.656027,1723024230.8566499,1723024234.4648776,1723024234.6653652,1723024238.4731305,
RSACF,19,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024239.5872734,1723024243.3951163,1723024243.5956583,1723024247.2034557,1723024247.404178,1723024251.2112465,
RSACF,20,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024252.3297632,1723024256.1375175,1723024256.338045,1723024259.9449167,1723024260.1454864,1723024263.953062,
RSACF,21,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024265.079534,1723024268.8880718,1723024269.0885715,1723024272.6965153,1723024272.897164,1723024276.7050383,
RSACF,22,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024277.8204489,1723024281.6274962,1723024281.827977,1723024285.434659,1723024285.6351283,1723024289.4441667,
RSACF,23,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024290.5599387,1723024294.368352,1723024294.568827,1723024298.1758118,1723024298.3762913,1723024302.1839726,
RSACF,24,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024303.2979405,1723024307.1034327,1723024307.303756,1723024310.910787,1723024311.1115649,1723024314.9191763,
RSACF,25,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024316.0344644,1723024319.8418427,1723024320.0423532,1723024323.6492972,1723024323.8498104,1723024327.6578865,
RSACF,26,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024328.7739744,1723024332.581138,1723024332.781632,1723024336.3890986,1723024336.5895572,1723024340.3984084,
RSACF,27,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024341.5137236,1723024345.319298,1723024345.5196385,1723024349.127636,1723024349.3281481,1723024353.1355565,
RSACF,28,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024354.2608747,1723024358.068479,1723024358.2688906,1723024361.8754044,1723024362.0758767,1723024365.8859904,
RSACF,29,3,P01,12,0.5,-1,-1,0,-1,-1,-1,1723024367.0122347,1723024370.8205698,1723024371.021122,1723024374.6308842,1723024374.8314624,1723024378.642756,
RSACF,30,3,P01,12,0.5,-1,-1,0,-1,-1,0,1723024379.757304,1723024383.562516,1723024383.7628434,1723024387.3694508,1723024387.5699322,1723024391.3767548,
